competencia,segmento,nivel,valor
2015-06,Cartao de credito,top,854414176.54
2015-06,Factoring,top,598650968.9
2015-06,Setor publico,top,2412289946.5
2015-06,Acoes judiciais,top,3531615267.79
2015-06,Marcas e patentes,top,0.0
2015-06,Financeiro: credito pessoal,sub,967877646.3
2015-06,Financeiro: consignado,sub,3644108554.7999997
2015-06,Financeiro: credito corporativo,sub,1336047873.78
2015-06,Financeiro: middle market,sub,1049340105.81
2015-06,Financeiro: veiculos,sub,4933688540.139999
2015-06,Financeiro: imobiliario empresarial,sub,547278393.22
2015-06,Financeiro: imobiliario residencial,sub,727074656.88
2015-06,Financeiro: outros,sub,4167273868.7699995
2015-07,Industrial,top,26770479551.010006
2015-07,Imobiliario,top,311122988.76
2015-07,Comercial,top,10164416429.039999
2015-07,Servicos,top,8952739707.98
2015-07,Agronegocio,top,1047771892.72
2015-07,Financeiro,top,16567326200.980001
2015-07,Cartao de credito,top,855978190.12
2015-07,Factoring,top,266977771.59
2015-07,Setor publico,top,2489825054.6800003
2015-07,Acoes judiciais,top,3559862158.08
2015-07,Marcas e patentes,top,0.0
2015-07,Financeiro: credito pessoal,sub,1069363847.55
2015-07,Financeiro: consignado,sub,3703100299.04
2015-07,Financeiro: credito corporativo,sub,1616528010.2099998
2015-07,Financeiro: middle market,sub,1045973662.72
2015-07,Financeiro: veiculos,sub,4731370776.87
2015-07,Financeiro: imobiliario empresarial,sub,387224450.73
2015-07,Financeiro: imobiliario residencial,sub,807790228.72
2015-07,Financeiro: outros,sub,3205974925.1400003
2015-08,Industrial,top,25217884958.550003
2015-08,Imobiliario,top,314170975.12
2015-08,Comercial,top,10142923111.740002
2015-08,Servicos,top,10245870072.98
2015-08,Agronegocio,top,1046122264.3600001
2015-08,Financeiro,top,18086676584.59
