rank,participant_key,participant_cnpj,participant_name,funds,linked_pl_fractional_brl,linked_issuance_fractional_brl,confidence_median,sector,administrators,managers,custodians,first_evidence_date,latest_evidence_date,commercial_signal_brl
59,51757300000150,51757300000150,FLYTOUR CONSOLIDADORA,1,66735278.55,75000000.0,0.95,Atividades administrativas e serviços complementares,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SRM Empírica Gestão de Crédito LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2025-02-05,2025-02-05,141735278.55
60,01181521000155,01181521000155,BANCO COOPERATIVO SICREDI,1,125473080.6,9000000.0,0.67,"Atividades financeiras, seguros e serviços relacionados",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,SOMMA MULTI-FAMILY OFFICE S.A.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2026-03-25,2026-03-25,134473080.6
61,23773276000108,23773276000108,URBANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,1,85729153.465,35000000.0,0.76,"Atividades financeiras, seguros e serviços relacionados",LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,OURO PRETO GESTÃO DE RECURSOS S.A.,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-10-02,2025-10-02,120729153.465
62,48740351000165,48740351000165,BTU - BRASPRESS - MTZ,1,85729153.465,35000000.0,0.93,"Transporte, armazenagem e correio",LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,OURO PRETO GESTÃO DE RECURSOS S.A.,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-03-24,2025-03-24,120729153.465
63,33250713000162,33250713000162,signiﬁca a H. STRATTNER & CIA. LTDA,1,59718035.16,60000000.0,0.95,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,PATAGÔNIA CAPITAL GESTORA DE RECURSOS LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2025-04-08,2025-04-08,119718035.16
64,08888040000123,08888040000123,CPS LOG,1,50530988.72,66666666.666666664,0.93,Comércio e reparação de veículos,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2026-05-07,2026-05-07,117197655.38666666
65,27390705000119,27390705000119,N.E.O.S.P.E. EMPREENDIMENTOS E PARTICIPACOES S.A,1,50530988.72,66666666.666666664,0.6,"Atividades financeiras, seguros e serviços relacionados",BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2026-05-07,2026-05-07,117197655.38666666
66,40374430000198,40374430000198,CANSPE PARTICIPACOES S.A.,1,50530988.72,66666666.666666664,0.93,"Atividades financeiras, seguros e serviços relacionados",BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,2026-05-07,2026-05-07,117197655.38666666
67,37284282000106,37284282000106,AGROFORTE SECURITIZADORA CONSULTORIA E SERVICOS FINANCEIROS S.A.,1,0.0,116500000.0,0.95,"Atividades profissionais, científicas e técnicas",QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,MILÊNIO CAPITAL GESTÃO DE INVESTIMENTOS LTDA.,,2025-05-27,2025-05-27,116500000.0
68,BANKERIZE CONSULTORIA LTDA,,Bankerize Consultoria Ltda,1,23175212.583333332,81250000.0,0.68,,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,NEXA FINANCE LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,2026-04-10,2026-04-10,104425212.58333333
