cnpj,document_classification,source_file,file_name,document_date,file_size_bytes
10292322000105,regulamento,data/raw/10292322000105/1134284_regulamento_regulamento_1134284_2026-03-12.pdf,1134284_regulamento_regulamento_1134284_2026-03-12.pdf,2026-03-12,136146
10292322000105,regulamento,data/raw/10292322000105/1134285_regulamento_regulamento_1134285_2026-03-12.pdf,1134285_regulamento_regulamento_1134285_2026-03-12.pdf,2026-03-12,377134
10292322000105,regulamento,data/raw/10292322000105/895847_regulamento_regulamento_895847_2025-04-22.pdf,895847_regulamento_regulamento_895847_2025-04-22.pdf,2025-04-22,347056
10756703000106,regulamento,data/raw/10756703000106/1080426_regulamento_regulamento_1080426_2026-01-12_2026-01-12.pdf,1080426_regulamento_regulamento_1080426_2026-01-12_2026-01-12.pdf,2026-01-12,1112380
10756703000106,regulamento,data/raw/10756703000106/1129999_regulamento_regulamento_1129999_2026-03-04_2026-03-04.pdf,1129999_regulamento_regulamento_1129999_2026-03-04_2026-03-04.pdf,2026-03-04,1224407
10756703000106,regulamento,data/raw/10756703000106/1167306_regulamento_regulamento_1167306_2026-04-20_2026-04-20.pdf,1167306_regulamento_regulamento_1167306_2026-04-20_2026-04-20.pdf,2026-04-20,1222595
10756703000106,regulamento,data/raw/10756703000106/212377_regulamento_regulamento_212377_2021-09-03_2021-09-03.pdf,212377_regulamento_regulamento_212377_2021-09-03_2021-09-03.pdf,2021-09-03,1239733
10756703000106,regulamento,data/raw/10756703000106/242247_regulamento_regulamento_242247_2021-12-02_2021-12-02.pdf,242247_regulamento_regulamento_242247_2021-12-02_2021-12-02.pdf,2021-12-02,239686
10756703000106,regulamento,data/raw/10756703000106/243772_regulamento_regulamento_243772_2021-12-06_2021-12-06.pdf,243772_regulamento_regulamento_243772_2021-12-06_2021-12-06.pdf,2021-12-06,1242986
10756703000106,regulamento,data/raw/10756703000106/248550_regulamento_regulamento_248550_2021-12-15_2021-12-15.pdf,248550_regulamento_regulamento_248550_2021-12-15_2021-12-15.pdf,2021-12-15,1239456
10756703000106,regulamento,data/raw/10756703000106/281013_regulamento_regulamento_281013_2022-03-23_2022-03-23.pdf,281013_regulamento_regulamento_281013_2022-03-23_2022-03-23.pdf,2022-03-23,1259444
10756703000106,regulamento,data/raw/10756703000106/312591_regulamento_regulamento_312591_2022-06-08_2022-06-08.pdf,312591_regulamento_regulamento_312591_2022-06-08_2022-06-08.pdf,2022-06-08,240498
