participant_type,participant_normalized,cnpj_participante,funds,linked_pl_brl,confidence_median,sector
consultora,SMART COMPASS S.A.,52858530000179.0,1,187394570.02,0.95,Atividades administrativas e serviços complementares
consultora,ADGM CONSULTORIA DE DISTRESSED LTDA,47405909000193.0,1,134835105.95,0.95,Atividades administrativas e serviços complementares
consultora,CREDIT PARTNERS,17878852000189.0,1,124565892.78,0.93,"Atividades financeiras, seguros e serviços relacionados"
consultora,MD PARTICIPACOES E ASSESSORIA EMPRESARIAL LTDA,42063377000130.0,1,106425105.92,0.93,"Atividades profissionais, científicas e técnicas"
consultora,NORTH SOLUCOES FINANCEIRAS E ASSESSORIA LTDA.,29606222000134.0,1,106158622.83,0.6,Atividades administrativas e serviços complementares
consultora,FLM COBRANCA LTDA,29482782000124.0,1,106032166.68,0.95,Atividades administrativas e serviços complementares
consultora,WIZ SOLUCOES E CORRETAGEM DE SEGUROS S.A,42278473000103.0,1,99012281.42,0.6,"Atividades financeiras, seguros e serviços relacionados"
consultora,OKT CAPITAL CONSULTORIA LTDA,54570349000198.0,1,93192282.77,0.93,"Atividades profissionais, científicas e técnicas"
consultora,CASHU,35444423000185.0,1,88002429.03,0.9,Informação e comunicação
consultora,JURI CAPITAL,52026131000141.0,1,85240546.65,0.95,"Atividades profissionais, científicas e técnicas"
consultora,PERPETUO CONSULTORIA ESPECIALIZADA LTDA,29695351000146.0,1,55608463.93,0.93,"Atividades profissionais, científicas e técnicas"
consultora,ALUMNI INVESTIMENTOS S/A,48818746000133.0,1,53355701.74,0.83,"Atividades financeiras, seguros e serviços relacionados"
consultora,E A JUSINVEST LTDA,,1,46903814.81,0.68,
consultora,JUSINVEST S.A.,43543623000113.0,1,46903814.81,0.78,"Atividades profissionais, científicas e técnicas"
consultora,SIMETRIO CAPITAL INTERMEDIACAO E CONSULTORIA LTDA,41549307000123.0,1,46663391.83,0.93,
consultora,AZUL LINHAS AEREAS BRASILEIRAS S.A.,9296295000160.0,1,45540872.66,0.77,"Transporte, armazenagem e correio"
