competencia,tipo_recebivel_tabela_ii,fundos_incluidos_coorte_anterior,pl_incluido_brl_coorte_anterior,carteira_incluida_brl_coorte_anterior,inadimplencia_sobre_carteira_coorte_anterior,fundos_incluidos_coorte_atual,pl_incluido_brl_coorte_atual,carteira_incluida_brl_coorte_atual,inadimplencia_sobre_carteira_coorte_atual,delta_inadimplencia_pp,competencia_coorte_anterior,competencia_coorte_atual
2014-10,Ações judiciais,8,1221976334.27,1181734948.76,0.0,8,1221976334.27,1181734948.76,0.0,0.0,2026-05,2026-06
2014-10,Comercial,9,3285316299.7599998,2843331333.8599997,0.0038185131119631214,8,2757952091.0499997,2456088390.58,0.004420564838644131,0.0006020517266810094,2026-05,2026-06
2014-10,Financeiro,22,2307668619.12,1224721685.97,0.014500611505000344,23,2567736857.11,1396949635.79,0.05584588042494585,0.041345268919945506,2026-05,2026-06
2014-10,Imobiliário,1,6330702.22,6844274.64,0.008819412308095223,1,6330702.22,6844274.64,0.008819412308095223,0.0,2026-05,2026-06
2014-10,Industrial,1,20007621441.89,19150950631.31,0.0,1,20007621441.89,19150950631.31,0.0,0.0,2026-05,2026-06
2014-10,Serviços,9,3382299904.87,3112482561.2,0.00041601923369516874,10,3909664113.58,3499725504.48,0.00036998690564230214,-4.6032328052866606e-05,2026-05,2026-06
2014-10,Setor público,5,1249565247.65,1170766759.67,0.0,5,1249565247.65,1170766759.67,0.0,0.0,2026-05,2026-06
2014-11,Agronegócio,1,143933755.34,139519126.29,0.0,1,143933755.34,139519126.29,0.0,0.0,2026-05,2026-06
2014-11,Ações judiciais,8,1229180229.94,1188685585.67,0.0,8,1229180229.94,1188685585.67,0.0,0.0,2026-05,2026-06
2014-11,Comercial,9,3248326107.5299997,2873483571.1699996,0.002412328565072525,8,2722295082.24,2512156258.06,0.0027592975069763524,0.0003469689419038275,2026-05,2026-06
2014-11,Financeiro,23,1376210891.41,1302217810.6,0.01412743534165267,24,1640455386.51,1482500282.09,0.05375313937725256,0.03962570403559989,2026-05,2026-06
