competencia,classe_analitica,participant,pl_brl,fundos,share_tipo,rank_tipo
2024-12,Financeiro,SEFER INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,188722155.37,3,0.0010143888575026023,31
2024-12,Financeiro,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8726337206.55,76,0.04690439875371324,6
2024-12,Financeiro,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,49635629.989999995,2,0.000266793423900148,35
2024-12,Financeiro,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2695150750.32,30,0.014486539140327041,16
2024-12,Financeiro,WNT CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1035159.67,1,5.564023116021446e-06,38
2024-12,Financeiro,XP INVESTIMENTOS CCTVM S.A,663584743.88,5,0.003566793569524874,25
2024-12,Fomento Mercantil,PLANNER CORRETORA DE VALORES S.A,83045642.41,1,0.4013924183922353,2
2024-12,Fomento Mercantil,QI TECH + SINGULARE,123848256.44,3,0.5986075816077647,1
2024-12,Meios de pagamento | classe não determinada,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3011703339.6,4,0.03887225506538097,4
2024-12,Meios de pagamento | classe não determinada,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,933845514.11,2,0.012053206084025206,5
2024-12,Meios de pagamento | classe não determinada,GRUPO BRADESCO/BEM,3852756608.12,2,0.049727785471580944,3
2024-12,Meios de pagamento | classe não determinada,GRUPO GENIAL,11963579767.09,21,0.15441471876945206,2
2024-12,Meios de pagamento | classe não determinada,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4155623.53,1,5.3636908951103274e-05,6
2024-12,Meios de pagamento | classe não determinada,OLIVEIRA TRUST,57710898278.93,16,0.7448783977006096,1
2024-12,Outros,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,94465417.19,5,0.001327577785138334,20
2024-12,Outros,BANCO DAYCOVAL S.A,1960201811.15,26,0.02754786308344539,11
2024-12,Outros,BANCO J. SAFRA S.A,2052768850.76,10,0.02884876185759768,10
2024-12,Outros,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,66167049.5,1,0.0009298842649227972,21
2024-12,Outros,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,1462990500.47,13,0.020560261586374366,12
2024-12,Outros,BR-CAPITAL DTVM S.A,594454625.18,1,0.008354218698620696,17
2024-12,Outros,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2703104003.62,27,0.037988302310745375,9
2024-12,Outros,BTG PACTUAL,14237808542.05,45,0.20009225483502457,1
2024-12,Outros,FINVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,724304597.36,1,0.010179076340653608,16
2024-12,Outros,GRUPO BRADESCO/BEM,2829433497.02,1,0.03976368460444019,8
2024-12,Outros,GRUPO GENIAL,7331144010.88,12,0.10302885667586426,4
2024-12,Outros,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,172686761.81,1,0.002426868113071749,18
2024-12,Outros,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,8473545238.99,28,0.1190836896218001,3
